latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
6.95809,8.49348,355.39,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,313.81,26.69,D
7.26679,10.67768,351.8,0.35,0.57,2026-01-29,1318,N,VIIRS,n,2.0NRT,294.3,5.41,D
5.59005,-0.75442,330.43,0.45,0.39,2026-01-29,1318,N,VIIRS,n,2.0NRT,294.29,2.96,D
7.33636,11.15455,330.82,0.38,0.59,2026-01-29,1318,N,VIIRS,n,2.0NRT,298.18,1.88,D
7.2153,10.22,339.28,0.33,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,306.03,3.78,D
6.97112,8.45491,351.31,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,311.71,6.4,D
6.77346,7.0587,337.77,0.4,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,282.37,3.65,D
6.75295,6.91535,330.58,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,284.93,1.73,D
7.09928,9.30489,331.74,0.57,0.52,2026-01-29,1318,N,VIIRS,n,2.0NRT,297.29,1.72,D
7.24122,10.25676,330.08,0.33,0.55,2026-01-29,1318,N,VIIRS,l,2.0NRT,302.93,0.83,D
7.23868,10.23839,335.77,0.33,0.55,2026-01-29,1318,N,VIIRS,n,2.0NRT,304.41,1.66,D
7.36963,11.15398,340.58,0.38,0.59,2026-01-29,1318,N,VIIRS,n,2.0NRT,295.3,2,D
7.36915,11.15042,333.93,0.38,0.59,2026-01-29,1318,N,VIIRS,n,2.0NRT,295.67,2,D
6.97347,8.30949,331.74,0.49,0.48,2026-01-29,1318,N,VIIRS,l,2.0NRT,305.66,1.75,D
7.27232,10.4059,367,0.34,0.56,2026-01-29,1318,N,VIIRS,h,2.0NRT,300.68,11.61,D
7.27189,10.40284,332.15,0.34,0.56,2026-01-29,1318,N,VIIRS,n,2.0NRT,295.57,3.55,D
7.24599,10.21585,330.89,0.33,0.55,2026-01-29,1318,N,VIIRS,l,2.0NRT,303.11,1.97,D
7.09323,9.12297,334.76,0.55,0.51,2026-01-29,1318,N,VIIRS,n,2.0NRT,295.81,2.68,D
